#acc_paschen_factor density_factor volt density pressure N_great N_less
1.2448462712363022 0.004113525067895669 0.007141725332272094 6.581640108633071e-07 0.00391291184131369 0 9952
1.2435427206147105 0.00890449488079398 0.01293972293495931 1.424719180927037e-06 0.008470230005866981 0 9880
1.1038480978397351 0.006428774980682245 0.00890138036214577 1.0286039969091593e-06 0.006115248924427062 0 9324
1.2128411644905939 0.008193346347482658 0.011818862313580444 1.3109354155972254e-06 0.007793763600290839 0 9987
2.4839139346982604 0.011950750428627024 0.032670597697369706 1.912120068580324e-06 0.011367922181809195 0 7972
1.844370558865625 0.0022851720086246186 0.0068934003409125266 3.65627521379939e-07 0.00217372605354271 0 8967
2.538490227953921 0.015999325236243048 0.04226169365326017 2.5598920377988877e-06 0.015219051333495411 0 8219
1.8951958486407445 0.013908341899816275 0.028165726444696837 2.225334703970604e-06 0.013230043530686646 0 9439
1.8331631854124262 0.010001050832191565 0.020914181839331778 1.6001681331506506e-06 0.009513307827459445 0 9386
2.83522920038752 0.011506941374849778 0.03617721385383565 1.8411106199759646e-06 0.01094575732973122 0 7687
1.9583840582536451 0.010810423974535487 0.02377186993230899 1.729667835925678e-06 0.010283208508857 0 9080
2.8940890175482776 0.006712658166025445 0.024133370346941005 1.0740253065640713e-06 0.006385287360839826 0 7353
1.7930187065046055 0.008737802186601225 0.018380965010042306 1.398048349856196e-06 0.00831166677695709 0 9303
1.278120090089457 0.0004606051795441393 0.0018187669052501746 7.36968287270623e-08 0.00043814184463708073 9993 26
2.7910605738948817 0.0024381696817144527 0.01092214362865421 3.9010714907431245e-07 0.002319262156239395 0 8097
1.9066586402770729 0.015987882863837344 0.03172427626282329 2.5580612582139753e-06 0.015208166996159428 0 9513
1.9017273245143802 0.007389351630371412 0.01709054778884586 1.182296260859426e-06 0.007028979042761061 0 8808
1.7939193364537465 0.016467624668027925 0.030575093595370893 2.6348199468844683e-06 0.015664512188034198 0 10068
2.0012342919299444 0.01805524975851167 0.03676768106866196 2.888839961361867e-06 0.017174710111611823 0 9545
2.6374593724745665 0.01242834344745152 0.035799145285556604 1.9885349515922433e-06 0.011822223382808831 0 7823
2.4877651063735993 0.01579356561774543 0.04098372165880857 2.526970498839269e-06 0.015023326441974235 0 8256
1.3928359231510876 0.00337331909917036 0.006895592295604157 5.397310558672577e-07 0.0032088051074952418 0 9325
1.319508695570049 0.01557849283319607 0.021496947017431062 2.4925588533113716e-06 0.014818742579832365 0 9704
1.729991940898812 0.0027314936090423857 0.007343819815931362 4.3703897744678176e-07 0.002598280917432761 0 8379
2.7266383028466574 0.007150073627212667 0.023882186221159427 1.1440117803540269e-06 0.006801370430567842 0 7414
1.9361324110674798 0.01275214596269759 0.0268290931417475 2.0403433540316143e-06 0.012130234316312554 0 9263
2.9847607271955567 0.008666650566411397 0.030401228262185578 1.3866640906258235e-06 0.00824398516263017 0 7407
